46.220.150.215:80 - IPX NIG &gt; login
131.83.29.163:80 - IPX NIG &gt; login
31.38.12.115:80 - IPX NIG &gt; login
90.98.92.205:80 - IPX NIG &gt; login
74.145.41.130:80 - IPX NIG &gt; login
180.65.52.130:80 - IPX NIG &gt; login
75.113.125.222:80 - IPX NIG &gt; login
176.65.178.161:80 - IPX NIG &gt; login
132.157.60.182:80 - IPX NIG &gt; login
54.84.24.247:80 - IPX NIG &gt; login
169.47.83.195:80 - IPX NIG &gt; login
120.22.235.237:80 - IPX NIG &gt; login
13.152.1.75:80 - IPX NIG &gt; login
147.106.52.21:80 - IPX NIG &gt; login
125.221.243.135:80 - IPX NIG &gt; login
180.40.105.176:80 - IPX NIG &gt; login
84.212.126.27:80 - IPX NIG &gt; login
199.213.135.7:80 - IPX NIG &gt; login
85.4.109.24:80 - IPX NIG &gt; login
138.107.89.29:80 - IPX NIG &gt; login
60.4.29.191:80 - IPX NIG &gt; login
155.37.52.217:80 - IPX NIG &gt; login
1.96.69.136:80 - IPX NIG &gt; login
164.2.23.174:80 - IPX NIG &gt; login
189.183.59.176:80 - IPX NIG &gt; login
23.204.54.110:80 - IPX NIG &gt; login
8.8.49.43:80 - IPX NIG &gt; login
137.205.194.196:80 - IPX NIG &gt; login
57.62.35.11:80 - IPX NIG &gt; login
1.219.227.55:80 - IPX NIG &gt; login
78.251.127.83:80 - IPX NIG &gt; login
216.103.211.182:80 - IPX NIG &gt; login
164.96.166.210:80 - IPX NIG &gt; login
208.56.35.7:80 - IPX NIG &gt; login
101.14.118.44:80 - IPX NIG &gt; login
29.38.155.108:80 - IPX NIG &gt; login
144.53.157.40:80 - IPX NIG &gt; login
197.129.5.53:80 - IPX NIG &gt; login
2.139.103.185:80 - IPX NIG &gt; login
155.109.34.169:80 - IPX NIG &gt; login
66.152.183.52:80 - IPX NIG &gt; login
96.116.145.171:80 - IPX NIG &gt; login
193.62.238.185:80 - IPX NIG &gt; login
69.123.112.249:80 - IPX NIG &gt; login
203.94.206.248:80 - IPX NIG &gt; login
213.44.22.102:80 - IPX NIG &gt; login
159.60.76.221:80 - IPX NIG &gt; login
30.19.141.106:80 - IPX NIG &gt; login
219.32.131.48:80 - IPX NIG &gt; login
211.171.76.166:80 - IPX NIG &gt; login
151.37.247.233:80 - IPX NIG &gt; login
203.162.91.9:80 - IPX NIG &gt; login
79.200.48.121:80 - IPX NIG &gt; login
71.69.17.39:80 - IPX NIG &gt; login
19.49.252.97:80 - IPX NIG &gt; login
