95.217.220.233:80 - 404 Not Found
34.219.226.76:80 - Заголовок не найден
198.164.96.138:80 - Заголовок не найден
127.146.183.249:80 - Index of /
127.172.242.250:80 - Index of /
104.165.185.89:80 - 403 Forbidden
77.62.189.125:80 - 
127.105.206.102:80 - Index of /
121.130.160.126:80 - Заголовок не найден
127.188.113.219:80 - Index of /
191.96.95.146:80 - 407 Proxy Authentication Required
127.150.96.153:80 - Index of /
116.202.124.35:80 - Success!
138.91.52.186:80 - Заголовок не найден
83.144.241.231:80 - 403 Forbidden
174.142.53.37:80 - Заголовок не найден
127.81.190.57:80 - Index of /
23.198.192.230:80 - Заголовок не найден
127.123.84.178:80 - Index of /
127.116.185.25:80 - Index of /
127.239.252.55:80 - Index of /
23.208.10.225:80 - Заголовок не найден
127.150.113.177:80 - Index of /
127.77.159.218:80 - Index of /
127.233.53.100:80 - Index of /
127.173.99.71:80 - Index of /
127.48.102.159:80 - Index of /
127.197.138.246:80 - Index of /
127.103.225.172:80 - Index of /
127.67.47.231:80 - Index of /
127.141.218.149:80 - Index of /
127.159.238.227:80 - Index of /
127.136.227.143:80 - Index of /
127.5.158.10:80 - Index of /
127.41.95.211:80 - Index of /
127.30.104.153:80 - Index of /
127.193.172.77:80 - Index of /
127.126.207.175:80 - Index of /
127.213.149.33:80 - Index of /
127.203.24.206:80 - Index of /
127.56.174.64:80 - Index of /
127.71.62.146:80 - Index of /
127.38.42.123:80 - Index of /
127.83.68.241:80 - Index of /
127.219.251.158:80 - Index of /
127.172.217.97:80 - Index of /
127.51.118.55:80 - Index of /
127.106.185.135:80 - Index of /
127.224.236.156:80 - Index of /
127.154.2.83:80 - Index of /
127.237.173.240:80 - Index of /
127.58.7.56:80 - Index of /
127.64.35.82:80 - Index of /
127.228.120.90:80 - Index of /
127.159.187.73:80 - Index of /
127.214.111.35:80 - Index of /
127.249.188.79:80 - Index of /
127.226.236.9:80 - Index of /
127.67.154.170:80 - Index of /
127.244.85.7:80 - Index of /
127.250.30.167:80 - Index of /
